Ethnicity(Rate),Population(Rate),"Rate per 1,000 population",Ethnicity(Number),Number of stop and searches,Population(Number),,Ethnicity(Heat),2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
Black,1790793,54.11,All,563837,53393384,,All,25.26,23.26,21.17,18.29,16.28,9.77,6.99,5.55,5.15,6.98,10.56
Any other ethnic group,320697,29.38,White,280661,45961272,,Any other ethnic group,27.61,27.59,24.47,18.82,17.11,10.94,9.02,7.25,7.74,10.94,29.38
Mixed,1163690,15.79,Black,96905,1790793,,Asian,40.18,37.7,33.24,24.85,19.75,11.41,9.81,8.02,7.95,11.45,15.37
Asian,3941358,15.37,Asian,60575,3941358,,Black,120.17,115.42,97.84,67.15,56.14,35.11,32.53,30.62,30.24,39.16,54.11
All,53393384,10.56,Mixed,18369,1163690,,Mixed,35.12,30.89,28.92,23.72,20.22,12.72,10.55,8.92,8.91,11.1,15.79
White,45961272,6.11,Any other ethnic group,9422,320697,,White,18.77,17.27,16.06,14.84,13.48,7.94,4.99,3.65,3.17,4.05,6.11
